analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
20,10,true,,0.10396008162876903,0.21567082887825564,0.1350629011070428,14,17,3.0,19.0,0.7049399198931909,0.0,0.3084,1,2026,0.1,0.2,30
20,10,false,,0.119375693390931,0.3689037436352459,0.2617040859880767,15,16,3.0,19.0,0.6853237878294826,0.0,0.293,2,2027,0.1,0.2,30
30,15,false,,0.15380383295040165,0.09107563912521034,-0.08093142014286364,8,3,1.0,27.0,0.35035349567949725,0.025530243519245877,0.2728,2,2027,0.1,0.2,30
40,20,false,,0.7373786262581709,0.07615618951487758,-0.6611480866226186,2,1,1.0,6.0,0.0,0.0,0.104,2,2027,0.1,0.2,30
50,25,false,,0.2561702455088643,0.08667069228108783,-0.17932062112277924,5,3,1.0,44.0,0.2143928035982009,0.022988505747126436,0.121,2,2027,0.1,0.2,30
60,30,true,,0.09942336248267504,0.39406844425374227,0.2871608692839709,53,55,37.0,59.0,0.8892128279883382,0.0,0.1492,2,2027,0.1,0.2,30
20,10,false,,0.17059923871736118,0.11914654687982011,-0.07015614908717616,6,1,1.0,19.0,0.39898440333696045,0.0,0.242,3,2028,0.1,0.2,30
30,15,false,,0.11029583930121294,0.12695867841026048,0.0231477037154547,20,25,2.0,29.0,0.556842867487328,0.18175235336712528,0.236,3,2028,0.1,0.2,30
40,20,false,,0.12203211678477155,0.10814445807126774,-0.011882855818695193,24,32,2.0,38.0,0.46173945502053004,0.26651735722284436,0.2818,3,2028,0.1,0.2,30
50,25,true,,0.11856173146515264,0.7265307144434003,0.5993276828032083,44,46,32.0,49.0,0.9872142580395196,0.043006586594343275,0.2418,3,2028,0.1,0.2,30
20,10,false,,0.17208020094731924,0.1154759050342282,-0.07756422269161414,8,1,1.0,19.0,0.3761002031144211,0.0,0.2466,4,2029,0.1,0.2,30
