rep,seed,true_theta1,true_theta2,true_t_star,detected,first_detection_day,first_detection_tau,detection_delay,false_alarm,tau_error,abs_tau_error,tau_within_tolerance,sim_elapsed_seconds,detection_elapsed_seconds,total_elapsed_seconds
1,2026,0.1,0.15,15,true,60,45,45,false,30,30,false,,,
2,2027,0.1,0.15,15,true,30,19,15,false,4,4,false,,,
3,2028,0.1,0.15,15,true,30,24,15,false,9,9,false,,,
4,2029,0.1,0.15,15,true,60,53,45,false,38,38,false,,,
5,2030,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
6,2031,0.1,0.15,15,false,,,,false,,,,,,
7,2032,0.1,0.15,15,true,40,32,25,false,17,17,false,,,
8,2033,0.1,0.15,15,true,30,24,15,false,9,9,false,,,
9,2034,0.1,0.15,15,true,60,53,45,false,38,38,false,,,
10,2035,0.1,0.15,15,true,50,41,35,false,26,26,false,,,
11,2036,0.1,0.15,15,true,60,54,45,false,39,39,false,,,
12,2037,0.1,0.15,15,true,50,43,35,false,28,28,false,,,
13,2038,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
14,2039,0.1,0.15,15,true,30,21,15,false,6,6,false,,,
15,2040,0.1,0.15,15,false,,,,false,,,,,,
16,2041,0.1,0.15,15,true,50,43,35,false,28,28,false,,,
17,2042,0.1,0.15,15,true,30,24,15,false,9,9,false,,,
18,2043,0.1,0.15,15,false,,,,false,,,,,,
19,2044,0.1,0.15,15,true,30,22,15,false,7,7,false,,,
20,2045,0.1,0.15,15,false,,,,false,,,,,,
21,2046,0.1,0.15,15,false,,,,false,,,,,,
22,2047,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
23,2048,0.1,0.15,15,true,30,21,15,false,6,6,false,,,
24,2049,0.1,0.15,15,true,40,30,25,false,15,15,false,,,
25,2050,0.1,0.15,15,false,,,,false,,,,,,
26,2051,0.1,0.15,15,true,50,42,35,false,27,27,false,,,
27,2052,0.1,0.15,15,false,,,,false,,,,,,
28,2053,0.1,0.15,15,true,60,54,45,false,39,39,false,,,
29,2054,0.1,0.15,15,false,,,,false,,,,,,
30,2055,0.1,0.15,15,false,,,,false,,,,,,
31,2056,0.1,0.15,15,false,,,,false,,,,,,
32,2057,0.1,0.15,15,true,20,12,5,false,-3,3,true,,,
33,2058,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
34,2059,0.1,0.15,15,false,,,,false,,,,,,
35,2060,0.1,0.15,15,true,60,52,45,false,37,37,false,,,
36,2061,0.1,0.15,15,true,30,22,15,false,7,7,false,,,
37,2062,0.1,0.15,15,true,40,32,25,false,17,17,false,,,
38,2063,0.1,0.15,15,false,,,,false,,,,,,
39,2064,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
40,2065,0.1,0.15,15,true,50,42,35,false,27,27,false,,,
41,2066,0.1,0.15,15,false,,,,false,,,,,,
42,2067,0.1,0.15,15,false,,,,false,,,,,,
43,2068,0.1,0.15,15,true,60,53,45,false,38,38,false,,,
44,2069,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
45,2070,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
46,2071,0.1,0.15,15,true,40,31,25,false,16,16,false,,,
47,2072,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
48,2073,0.1,0.15,15,false,,,,false,,,,,,
49,2074,0.1,0.15,15,true,30,24,15,false,9,9,false,,,
50,2075,0.1,0.15,15,true,60,54,45,false,39,39,false,,,
51,2076,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
52,2077,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
53,2078,0.1,0.15,15,false,,,,false,,,,,,
54,2079,0.1,0.15,15,true,30,20,15,false,5,5,false,,,
55,2080,0.1,0.15,15,true,40,33,25,false,18,18,false,,,
56,2081,0.1,0.15,15,true,30,22,15,false,7,7,false,,,
57,2082,0.1,0.15,15,true,50,43,35,false,28,28,false,,,
58,2083,0.1,0.15,15,false,,,,false,,,,,,
59,2084,0.1,0.15,15,false,,,,false,,,,,,
60,2085,0.1,0.15,15,true,40,31,25,false,16,16,false,,,
61,2086,0.1,0.15,15,true,40,28,25,false,13,13,false,,,
62,2087,0.1,0.15,15,true,40,32,25,false,17,17,false,,,
63,2088,0.1,0.15,15,true,30,24,15,false,9,9,false,,,
64,2089,0.1,0.15,15,true,40,34,25,false,19,19,false,,,
65,2090,0.1,0.15,15,false,,,,false,,,,,,
66,2091,0.1,0.15,15,true,30,22,15,false,7,7,false,,,
67,2092,0.1,0.15,15,true,60,52,45,false,37,37,false,,,
68,2093,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
69,2094,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
70,2095,0.1,0.15,15,false,,,,false,,,,,,
71,2096,0.1,0.15,15,true,30,21,15,false,6,6,false,,,
72,2097,0.1,0.15,15,false,,,,false,,,,,,
73,2098,0.1,0.15,15,false,,,,false,,,,,,
74,2099,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
75,2100,0.1,0.15,15,true,40,34,25,false,19,19,false,,,
76,2101,0.1,0.15,15,true,60,53,45,false,38,38,false,,,
77,2102,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
78,2103,0.1,0.15,15,true,50,40,35,false,25,25,false,,,
79,2104,0.1,0.15,15,true,40,33,25,false,18,18,false,,,
80,2105,0.1,0.15,15,true,40,32,25,false,17,17,false,,,
81,2106,0.1,0.15,15,true,50,41,35,false,26,26,false,,,
82,2107,0.1,0.15,15,true,30,22,15,false,7,7,false,,,
83,2108,0.1,0.15,15,false,,,,false,,,,,,
84,2109,0.1,0.15,15,false,,,,false,,,,,,
85,2110,0.1,0.15,15,true,40,33,25,false,18,18,false,,,
86,2111,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
87,2112,0.1,0.15,15,false,,,,false,,,,,,
88,2113,0.1,0.15,15,false,,,,false,,,,,,
89,2114,0.1,0.15,15,true,50,41,35,false,26,26,false,,,
90,2115,0.1,0.15,15,true,40,33,25,false,18,18,false,,,
91,2116,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
92,2117,0.1,0.15,15,true,30,22,15,false,7,7,false,,,
93,2118,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
94,2119,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
95,2120,0.1,0.15,15,true,30,22,15,false,7,7,false,,,
96,2121,0.1,0.15,15,false,,,,false,,,,,,
97,2122,0.1,0.15,15,true,30,19,15,false,4,4,false,,,
98,2123,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
99,2124,0.1,0.15,15,true,40,32,25,false,17,17,false,,,
100,2125,0.1,0.15,15,false,,,,false,,,,,,
101,2126,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
102,2127,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
103,2128,0.1,0.15,15,true,60,49,45,false,34,34,false,,,
104,2129,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
105,2130,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
106,2131,0.1,0.15,15,true,50,44,35,false,29,29,false,,,
107,2132,0.1,0.15,15,true,30,22,15,false,7,7,false,,,
108,2133,0.1,0.15,15,true,30,20,15,false,5,5,false,,,
109,2134,0.1,0.15,15,false,,,,false,,,,,,
110,2135,0.1,0.15,15,true,30,24,15,false,9,9,false,,,
111,2136,0.1,0.15,15,true,50,39,35,false,24,24,false,,,
112,2137,0.1,0.15,15,true,60,54,45,false,39,39,false,,,
113,2138,0.1,0.15,15,true,40,32,25,false,17,17,false,,,
114,2139,0.1,0.15,15,false,,,,false,,,,,,
115,2140,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
116,2141,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
117,2142,0.1,0.15,15,true,30,21,15,false,6,6,false,,,
118,2143,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
119,2144,0.1,0.15,15,true,30,21,15,false,6,6,false,,,
120,2145,0.1,0.15,15,true,30,22,15,false,7,7,false,,,
121,2146,0.1,0.15,15,true,30,24,15,false,9,9,false,,,
122,2147,0.1,0.15,15,true,50,36,35,false,21,21,false,,,
123,2148,0.1,0.15,15,true,60,49,45,false,34,34,false,,,
124,2149,0.1,0.15,15,true,30,24,15,false,9,9,false,,,
125,2150,0.1,0.15,15,false,,,,false,,,,,,
126,2151,0.1,0.15,15,true,50,44,35,false,29,29,false,,,
127,2152,0.1,0.15,15,true,30,17,15,false,2,2,true,,,
128,2153,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
129,2154,0.1,0.15,15,true,30,21,15,false,6,6,false,,,
130,2155,0.1,0.15,15,false,,,,false,,,,,,
131,2156,0.1,0.15,15,false,,,,false,,,,,,
132,2157,0.1,0.15,15,true,60,52,45,false,37,37,false,,,
133,2158,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
134,2159,0.1,0.15,15,true,20,12,5,false,-3,3,true,,,
135,2160,0.1,0.15,15,false,,,,false,,,,,,
136,2161,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
137,2162,0.1,0.15,15,true,20,12,5,false,-3,3,true,,,
138,2163,0.1,0.15,15,true,60,53,45,false,38,38,false,,,
139,2164,0.1,0.15,15,true,30,20,15,false,5,5,false,,,
140,2165,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
141,2166,0.1,0.15,15,false,,,,false,,,,,,
142,2167,0.1,0.15,15,true,60,54,45,false,39,39,false,,,
143,2168,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
144,2169,0.1,0.15,15,false,,,,false,,,,,,
145,2170,0.1,0.15,15,true,60,50,45,false,35,35,false,,,
146,2171,0.1,0.15,15,false,,,,false,,,,,,
147,2172,0.1,0.15,15,true,30,19,15,false,4,4,false,,,
148,2173,0.1,0.15,15,false,,,,false,,,,,,
149,2174,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
150,2175,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
151,2176,0.1,0.15,15,false,,,,false,,,,,,
152,2177,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
153,2178,0.1,0.15,15,false,,,,false,,,,,,
154,2179,0.1,0.15,15,true,40,33,25,false,18,18,false,,,
155,2180,0.1,0.15,15,true,30,24,15,false,9,9,false,,,
156,2181,0.1,0.15,15,true,40,34,25,false,19,19,false,,,
157,2182,0.1,0.15,15,false,,,,false,,,,,,
158,2183,0.1,0.15,15,true,40,29,25,false,14,14,false,,,
159,2184,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
160,2185,0.1,0.15,15,true,40,33,25,false,18,18,false,,,
161,2186,0.1,0.15,15,true,60,53,45,false,38,38,false,,,
162,2187,0.1,0.15,15,true,50,44,35,false,29,29,false,,,
163,2188,0.1,0.15,15,true,30,21,15,false,6,6,false,,,
164,2189,0.1,0.15,15,false,,,,false,,,,,,
165,2190,0.1,0.15,15,true,60,50,45,false,35,35,false,,,
166,2191,0.1,0.15,15,false,,,,false,,,,,,
167,2192,0.1,0.15,15,true,40,33,25,false,18,18,false,,,
168,2193,0.1,0.15,15,false,,,,false,,,,,,
169,2194,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
170,2195,0.1,0.15,15,true,40,24,25,false,9,9,false,,,
171,2196,0.1,0.15,15,true,50,44,35,false,29,29,false,,,
172,2197,0.1,0.15,15,false,,,,false,,,,,,
173,2198,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
174,2199,0.1,0.15,15,true,40,32,25,false,17,17,false,,,
175,2200,0.1,0.15,15,true,50,41,35,false,26,26,false,,,
176,2201,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
177,2202,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
178,2203,0.1,0.15,15,true,30,19,15,false,4,4,false,,,
179,2204,0.1,0.15,15,true,40,34,25,false,19,19,false,,,
180,2205,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
181,2206,0.1,0.15,15,false,,,,false,,,,,,
182,2207,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
183,2208,0.1,0.15,15,true,50,44,35,false,29,29,false,,,
184,2209,0.1,0.15,15,true,40,33,25,false,18,18,false,,,
185,2210,0.1,0.15,15,false,,,,false,,,,,,
186,2211,0.1,0.15,15,true,30,21,15,false,6,6,false,,,
187,2212,0.1,0.15,15,true,50,36,35,false,21,21,false,,,
188,2213,0.1,0.15,15,false,,,,false,,,,,,
189,2214,0.1,0.15,15,true,60,54,45,false,39,39,false,,,
190,2215,0.1,0.15,15,true,40,32,25,false,17,17,false,,,
191,2216,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
192,2217,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
193,2218,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
194,2219,0.1,0.15,15,false,,,,false,,,,,,
195,2220,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
196,2221,0.1,0.15,15,true,50,43,35,false,28,28,false,,,
197,2222,0.1,0.15,15,true,30,22,15,false,7,7,false,,,
198,2223,0.1,0.15,15,true,30,16,15,false,1,1,true,,,
199,2224,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
200,2225,0.1,0.15,15,true,40,32,25,false,17,17,false,,,
201,2226,0.1,0.15,15,true,50,43,35,false,28,28,false,,,
202,2227,0.1,0.15,15,true,40,27,25,false,12,12,false,,,
203,2228,0.1,0.15,15,true,40,34,25,false,19,19,false,,,
204,2229,0.1,0.15,15,false,,,,false,,,,,,
205,2230,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
206,2231,0.1,0.15,15,false,,,,false,,,,,,
207,2232,0.1,0.15,15,true,50,44,35,false,29,29,false,,,
208,2233,0.1,0.15,15,true,50,42,35,false,27,27,false,,,
209,2234,0.1,0.15,15,true,30,22,15,false,7,7,false,,,
210,2235,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
211,2236,0.1,0.15,15,true,60,52,45,false,37,37,false,,,
212,2237,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
213,2238,0.1,0.15,15,true,30,20,15,false,5,5,false,,,
214,2239,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
215,2240,0.1,0.15,15,true,30,21,15,false,6,6,false,,,
216,2241,0.1,0.15,15,true,30,19,15,false,4,4,false,,,
217,2242,0.1,0.15,15,true,50,43,35,false,28,28,false,,,
218,2243,0.1,0.15,15,true,30,22,15,false,7,7,false,,,
219,2244,0.1,0.15,15,true,40,30,25,false,15,15,false,,,
220,2245,0.1,0.15,15,true,20,13,5,false,-2,2,true,,,
221,2246,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
222,2247,0.1,0.15,15,true,30,19,15,false,4,4,false,,,
223,2248,0.1,0.15,15,false,,,,false,,,,,,
224,2249,0.1,0.15,15,false,,,,false,,,,,,
225,2250,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
226,2251,0.1,0.15,15,true,20,14,5,false,-1,1,true,,,
227,2252,0.1,0.15,15,true,40,34,25,false,19,19,false,,,
228,2253,0.1,0.15,15,false,,,,false,,,,,,
229,2254,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
230,2255,0.1,0.15,15,true,30,23,15,false,8,8,false,,,
231,2256,0.1,0.15,15,true,40,34,25,false,19,19,false,,,
232,2257,0.1,0.15,15,true,50,43,35,false,28,28,false,,,
233,2258,0.1,0.15,15,true,60,50,45,false,35,35,false,,,
234,2259,0.1,0.15,15,true,50,40,35,false,25,25,false,,,
235,2260,0.1,0.15,15,true,50,40,35,false,25,25,false,,,
