rep,seed,true_theta1,true_theta2,true_t_star,detected,first_detection_day,first_detection_tau,detection_delay,false_alarm,tau_error,abs_tau_error,tau_within_tolerance,sim_elapsed_seconds,detection_elapsed_seconds,total_elapsed_seconds
1,2026,0.1,0.15,45,true,30,21,-15,true,-24,24,false,,,
2,2027,0.1,0.15,45,true,60,53,15,false,8,8,false,,,
3,2028,0.1,0.15,45,false,,,,false,,,,,,
4,2029,0.1,0.15,45,true,50,40,5,false,-5,5,false,,,
5,2030,0.1,0.15,45,false,,,,false,,,,,,
6,2031,0.1,0.15,45,false,,,,false,,,,,,
7,2032,0.1,0.15,45,true,30,24,-15,true,-21,21,false,,,
8,2033,0.1,0.15,45,false,,,,false,,,,,,
9,2034,0.1,0.15,45,true,60,52,15,false,7,7,false,,,
10,2035,0.1,0.15,45,true,60,50,15,false,5,5,false,,,
11,2036,0.1,0.15,45,false,,,,false,,,,,,
12,2037,0.1,0.15,45,true,40,34,-5,true,-11,11,false,,,
13,2038,0.1,0.15,45,false,,,,false,,,,,,
14,2039,0.1,0.15,45,true,20,13,-25,true,-32,32,false,,,
15,2040,0.1,0.15,45,true,30,22,-15,true,-23,23,false,,,
16,2041,0.1,0.15,45,true,40,31,-5,true,-14,14,false,,,
17,2042,0.1,0.15,45,false,,,,false,,,,,,
18,2043,0.1,0.15,45,true,60,54,15,false,9,9,false,,,
19,2044,0.1,0.15,45,false,,,,false,,,,,,
20,2045,0.1,0.15,45,true,60,46,15,false,1,1,true,,,
21,2046,0.1,0.15,45,true,30,24,-15,true,-21,21,false,,,
22,2047,0.1,0.15,45,true,20,13,-25,true,-32,32,false,,,
23,2048,0.1,0.15,45,true,40,32,-5,true,-13,13,false,,,
24,2049,0.1,0.15,45,true,60,53,15,false,8,8,false,,,
25,2050,0.1,0.15,45,true,20,14,-25,true,-31,31,false,,,
26,2051,0.1,0.15,45,true,40,34,-5,true,-11,11,false,,,
27,2052,0.1,0.15,45,false,,,,false,,,,,,
28,2053,0.1,0.15,45,false,,,,false,,,,,,
29,2054,0.1,0.15,45,true,40,33,-5,true,-12,12,false,,,
30,2055,0.1,0.15,45,false,,,,false,,,,,,
31,2056,0.1,0.15,45,false,,,,false,,,,,,
32,2057,0.1,0.15,45,false,,,,false,,,,,,
33,2058,0.1,0.15,45,true,50,43,5,false,-2,2,true,,,
34,2059,0.1,0.15,45,false,,,,false,,,,,,
35,2060,0.1,0.15,45,false,,,,false,,,,,,
36,2061,0.1,0.15,45,false,,,,false,,,,,,
37,2062,0.1,0.15,45,false,,,,false,,,,,,
38,2063,0.1,0.15,45,true,50,41,5,false,-4,4,false,,,
39,2064,0.1,0.15,45,false,,,,false,,,,,,
40,2065,0.1,0.15,45,true,40,33,-5,true,-12,12,false,,,
41,2066,0.1,0.15,45,false,,,,false,,,,,,
42,2067,0.1,0.15,45,true,30,19,-15,true,-26,26,false,,,
43,2068,0.1,0.15,45,true,60,46,15,false,1,1,true,,,
44,2069,0.1,0.15,45,true,20,13,-25,true,-32,32,false,,,
45,2070,0.1,0.15,45,true,40,34,-5,true,-11,11,false,,,
46,2071,0.1,0.15,45,false,,,,false,,,,,,
47,2072,0.1,0.15,45,true,20,14,-25,true,-31,31,false,,,
48,2073,0.1,0.15,45,true,30,23,-15,true,-22,22,false,,,
49,2074,0.1,0.15,45,false,,,,false,,,,,,
50,2075,0.1,0.15,45,false,,,,false,,,,,,
51,2076,0.1,0.15,45,true,50,44,5,false,-1,1,true,,,
52,2077,0.1,0.15,45,true,30,24,-15,true,-21,21,false,,,
53,2078,0.1,0.15,45,false,,,,false,,,,,,
54,2079,0.1,0.15,45,false,,,,false,,,,,,
55,2080,0.1,0.15,45,true,50,42,5,false,-3,3,true,,,
56,2081,0.1,0.15,45,true,60,53,15,false,8,8,false,,,
57,2082,0.1,0.15,45,true,20,13,-25,true,-32,32,false,,,
58,2083,0.1,0.15,45,true,40,30,-5,true,-15,15,false,,,
59,2084,0.1,0.15,45,true,40,33,-5,true,-12,12,false,,,
60,2085,0.1,0.15,45,true,50,42,5,false,-3,3,true,,,
61,2086,0.1,0.15,45,true,50,42,5,false,-3,3,true,,,
62,2087,0.1,0.15,45,false,,,,false,,,,,,
63,2088,0.1,0.15,45,false,,,,false,,,,,,
64,2089,0.1,0.15,45,true,20,13,-25,true,-32,32,false,,,
65,2090,0.1,0.15,45,true,30,24,-15,true,-21,21,false,,,
66,2091,0.1,0.15,45,true,20,14,-25,true,-31,31,false,,,
67,2092,0.1,0.15,45,true,60,52,15,false,7,7,false,,,
68,2093,0.1,0.15,45,true,30,24,-15,true,-21,21,false,,,
69,2094,0.1,0.15,45,true,20,14,-25,true,-31,31,false,,,
70,2095,0.1,0.15,45,false,,,,false,,,,,,
71,2096,0.1,0.15,45,true,40,31,-5,true,-14,14,false,,,
72,2097,0.1,0.15,45,true,20,14,-25,true,-31,31,false,,,
73,2098,0.1,0.15,45,true,40,33,-5,true,-12,12,false,,,
74,2099,0.1,0.15,45,true,60,53,15,false,8,8,false,,,
75,2100,0.1,0.15,45,true,40,34,-5,true,-11,11,false,,,
76,2101,0.1,0.15,45,false,,,,false,,,,,,
77,2102,0.1,0.15,45,true,20,14,-25,true,-31,31,false,,,
78,2103,0.1,0.15,45,false,,,,false,,,,,,
79,2104,0.1,0.15,45,true,20,13,-25,true,-32,32,false,,,
80,2105,0.1,0.15,45,true,60,54,15,false,9,9,false,,,
81,2106,0.1,0.15,45,true,50,41,5,false,-4,4,false,,,
82,2107,0.1,0.15,45,false,,,,false,,,,,,
83,2108,0.1,0.15,45,false,,,,false,,,,,,
84,2109,0.1,0.15,45,false,,,,false,,,,,,
85,2110,0.1,0.15,45,true,30,17,-15,true,-28,28,false,,,
86,2111,0.1,0.15,45,false,,,,false,,,,,,
87,2112,0.1,0.15,45,true,60,54,15,false,9,9,false,,,
88,2113,0.1,0.15,45,true,30,24,-15,true,-21,21,false,,,
89,2114,0.1,0.15,45,true,60,44,15,false,-1,1,true,,,
90,2115,0.1,0.15,45,false,,,,false,,,,,,
91,2116,0.1,0.15,45,true,40,31,-5,true,-14,14,false,,,
92,2117,0.1,0.15,45,false,,,,false,,,,,,
93,2118,0.1,0.15,45,true,20,14,-25,true,-31,31,false,,,
94,2119,0.1,0.15,45,true,20,12,-25,true,-33,33,false,,,
95,2120,0.1,0.15,45,false,,,,false,,,,,,
96,2121,0.1,0.15,45,true,30,19,-15,true,-26,26,false,,,
97,2122,0.1,0.15,45,true,40,33,-5,true,-12,12,false,,,
98,2123,0.1,0.15,45,false,,,,false,,,,,,
99,2124,0.1,0.15,45,false,,,,false,,,,,,
100,2125,0.1,0.15,45,false,,,,false,,,,,,
101,2126,0.1,0.15,45,false,,,,false,,,,,,
102,2127,0.1,0.15,45,false,,,,false,,,,,,
103,2128,0.1,0.15,45,true,60,47,15,false,2,2,true,,,
104,2129,0.1,0.15,45,true,60,21,15,false,-24,24,false,,,
105,2130,0.1,0.15,45,true,50,42,5,false,-3,3,true,,,
106,2131,0.1,0.15,45,true,20,14,-25,true,-31,31,false,,,
107,2132,0.1,0.15,45,false,,,,false,,,,,,
108,2133,0.1,0.15,45,true,30,23,-15,true,-22,22,false,,,
109,2134,0.1,0.15,45,false,,,,false,,,,,,
110,2135,0.1,0.15,45,true,60,50,15,false,5,5,false,,,
111,2136,0.1,0.15,45,true,30,22,-15,true,-23,23,false,,,
112,2137,0.1,0.15,45,false,,,,false,,,,,,
113,2138,0.1,0.15,45,true,50,36,5,false,-9,9,false,,,
114,2139,0.1,0.15,45,false,,,,false,,,,,,
115,2140,0.1,0.15,45,true,40,33,-5,true,-12,12,false,,,
116,2141,0.1,0.15,45,true,60,51,15,false,6,6,false,,,
117,2142,0.1,0.15,45,false,,,,false,,,,,,
118,2143,0.1,0.15,45,true,20,14,-25,true,-31,31,false,,,
119,2144,0.1,0.15,45,true,50,41,5,false,-4,4,false,,,
120,2145,0.1,0.15,45,false,,,,false,,,,,,
121,2146,0.1,0.15,45,true,40,34,-5,true,-11,11,false,,,
122,2147,0.1,0.15,45,false,,,,false,,,,,,
123,2148,0.1,0.15,45,true,40,33,-5,true,-12,12,false,,,
124,2149,0.1,0.15,45,true,20,14,-25,true,-31,31,false,,,
125,2150,0.1,0.15,45,true,60,54,15,false,9,9,false,,,
126,2151,0.1,0.15,45,true,60,51,15,false,6,6,false,,,
127,2152,0.1,0.15,45,false,,,,false,,,,,,
128,2153,0.1,0.15,45,true,20,12,-25,true,-33,33,false,,,
129,2154,0.1,0.15,45,false,,,,false,,,,,,
130,2155,0.1,0.15,45,false,,,,false,,,,,,
131,2156,0.1,0.15,45,true,40,33,-5,true,-12,12,false,,,
132,2157,0.1,0.15,45,true,40,34,-5,true,-11,11,false,,,
