true_theta1,true_theta2,true_t_star,n_reps,detected_count,detection_rate,detection_rate_se,detection_rate_ci_lower,detection_rate_ci_upper,false_alarm_count,false_alarm_rate,false_alarm_rate_se,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,median_detection_delay,median_abs_tau_error,tau_within_count,tau_within_tolerance_rate,tau_within_tolerance_rate_se,tau_within_tolerance_rate_ci_lower,tau_within_tolerance_rate_ci_upper
0.1,0.15,15,1000,797,0.797,0.012719709116170855,0.7720693701323051,0.8219306298676949,0,0.0,0.0,0.0,0.0,25.0,10.0,193,0.24215809284818068,0.015174334094199974,0.21241639802354872,0.27189978767281264
0.1,0.15,30,1000,714,0.714,0.014289996501049257,0.6859916068579435,0.7420083931420565,159,0.159,0.011563693181678594,0.13633516136390997,0.18166483863609004,10.0,12.0,108,0.15126050420168066,0.013409138365127927,0.12497859300602993,0.1775424153973314
0.1,0.15,45,1000,667,0.667,0.01490338887635963,0.6377893578023351,0.6962106421976649,452,0.452,0.015738360778683402,0.42115281287378054,0.4828471871262195,-5.0,15.0,81,0.12143928035982009,0.012647438217739112,0.09665030145305142,0.14622825926658875
0.1,0.2,15,1000,981,0.981,0.004317290817167639,0.9725381099983514,0.9894618900016485,0,0.0,0.0,0.0,0.0,15.0,8.0,246,0.25076452599388377,0.013839095682663333,0.22363989845586363,0.2778891535319039
0.1,0.2,30,1000,873,0.873,0.010529529904036551,0.8523621213880883,0.8936378786119117,160,0.16,0.01159310139695155,0.13727752126197496,0.18272247873802505,10.0,11.0,153,0.17525773195876287,0.012867393964249135,0.15003763978883458,0.20047782412869117
0.1,0.2,45,1000,691,0.691,0.014612289348353324,0.6623599128772274,0.7196400871227725,430,0.43,0.015655669899432602,0.3993148869971121,0.4606851130028879,-5.0,13.0,92,0.13314037626628075,0.012923800751589795,0.10780972679316475,0.15847102573939675
0.1,0.25,15,1000,994,0.994,0.002442130217658347,0.9892134247733896,0.9987865752266104,0,0.0,0.0,0.0,0.0,15.0,6.0,304,0.3058350100603622,0.014614425933093079,0.27719073523149973,0.3344792848892246
0.1,0.25,30,1000,946,0.946,0.0071473071852271785,0.9319912779169547,0.9600087220830452,154,0.154,0.011414201680362931,0.13162816470648864,0.17637183529351136,10.0,8.0,243,0.2568710359408034,0.01420509343616327,0.2290290528059234,0.2847130190756834
0.1,0.25,45,1000,747,0.747,0.013747399754135324,0.7200550964818948,0.7739449035181052,445,0.445,0.015715438269421567,0.41419774099193374,0.4758022590080663,-5.0,13.0,111,0.14859437751004015,0.013013950319622845,0.12308703488357937,0.17410172013650094
