analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
20,10,false,,0.11670727158320826,0.11061280391414656,-0.006915065819456848,11,1,1.0,19.0,0.4866479269149684,0.0,0.2774,1,2026,0.1,0.2,45
30,15,true,,0.1007716984094869,0.2714642209285839,0.16995674398553468,24,27,7.0,29.0,0.783357771260997,0.0,0.2806,1,2026,0.1,0.2,45
20,10,false,,0.119375693390931,0.3689037436352459,0.2617040859880767,15,16,3.0,19.0,0.6853237878294826,0.0,0.293,2,2027,0.1,0.2,45
30,15,false,,0.15380383295040165,0.09107563912521034,-0.08093142014286364,8,3,1.0,27.0,0.35035349567949725,0.0,0.2728,2,2027,0.1,0.2,45
40,20,false,,0.7373786262581709,0.07615618951487758,-0.6611480866226186,2,1,1.0,6.0,0.0,0.0,0.104,2,2027,0.1,0.2,45
50,25,false,,0.2561702455088643,0.08667069228108783,-0.17932062112277924,5,3,1.0,44.0,0.2143928035982009,0.04697651174412794,0.121,2,2027,0.1,0.2,45
60,30,true,,0.09942336248267504,0.39406844425374227,0.2871608692839709,53,55,37.0,59.0,0.8892128279883382,0.14965986394557823,0.1492,2,2027,0.1,0.2,45
20,10,false,,0.13446938304931585,0.15039660477484826,0.027993252075069294,10,1,1.0,19.0,0.5651295859979805,0.0,0.2948,3,2028,0.1,0.2,45
30,15,false,,0.1182001246557595,0.10364268179194915,-0.010141550519678438,19,26,2.0,29.0,0.4716843259042747,0.0,0.2618,3,2028,0.1,0.2,45
40,20,true,,0.1081532985810134,0.17612768102866405,0.06988027405887844,26,33,8.950000000000003,38.0,0.7086017430845017,0.0,0.2808,3,2028,0.1,0.2,45
20,10,false,,0.12193985457268385,0.16346943130664288,0.05306816839535902,13,16,2.0,19.0,0.6403614457831325,0.0,0.3226,4,2029,0.1,0.2,45
30,15,false,,0.11845399860954617,0.1476161928816773,0.038109956963588376,21,27,2.0,29.0,0.5867208672086721,0.0,0.2806,4,2029,0.1,0.2,45
40,20,false,,0.19426464182505213,0.1057923381890967,-0.10268524749899484,6,1,1.0,36.0,0.30503018108651914,0.0,0.2302,4,2029,0.1,0.2,45
50,25,false,,0.11500543819576904,0.5019172397718304,0.38787759013777556,45,46,35.12500000000001,49.0,0.8360588716271463,0.7174979558462796,0.2258,4,2029,0.1,0.2,45
60,30,false,,0.15770226512330682,0.1244024521235963,-0.0433635948430936,6,2,1.0,58.0,0.39350485027414595,0.06368620835090678,0.2008,4,2029,0.1,0.2,45
20,10,false,,0.24138680321333336,0.07539338961672327,-0.1702714841077575,4,1,1.0,18.0,0.3154281098546042,0.0,0.2064,5,2030,0.1,0.2,45
30,15,false,,0.09336506245313721,0.1071262968121911,0.01881667676651371,14,24,2.0,28.0,0.5506329113924051,0.0,0.2462,5,2030,0.1,0.2,45
40,20,false,,0.09324354612388559,0.1503114049908805,0.06069479810775959,27,36,7.0,38.0,0.676326348640214,0.0,0.1862,5,2030,0.1,0.2,45
50,25,false,,0.12154713578998372,0.09357381984545578,-0.032639382793894944,15,4,1.0,48.125,0.4164926931106472,0.17693110647181629,0.1218,5,2030,0.1,0.2,45
60,30,false,,0.13834973291319166,0.08591694208396018,-0.05604229724363455,8,4,1.0,28.0,0.25996631106120155,0.0,0.0902,5,2030,0.1,0.2,45
20,10,true,,0.12509244342490483,0.2292759209699652,0.11445480943557076,14,15,1.0,19.0,0.7004862236628849,0.0,0.3078,6,2031,0.1,0.2,45
20,10,false,,0.11946287600664457,0.21088984398934674,0.10029956703616186,14,17,1.0,19.0,0.6314741035856574,0.0,0.2834,7,2032,0.1,0.2,45
30,15,false,,0.13817664474310257,0.07212795993997496,-0.08524417397173073,11,2,1.0,29.0,0.2852928782132322,0.0,0.1922,7,2032,0.1,0.2,45
40,20,false,,0.3329097682386766,0.09057076280772323,-0.24210605774645377,5,2,1.0,38.0,0.1970260223048327,0.0,0.2518,7,2032,0.1,0.2,45
50,25,false,,0.12658647980779153,0.13974394103504573,0.024676550841832928,26,45,2.0,48.0,0.5608712563204978,0.23259432127576818,0.2748,7,2032,0.1,0.2,45
60,30,true,,0.12098749280984261,0.3666522485756735,0.24479667572875707,52,54,16.0,59.0,0.8537666174298375,0.17466765140324964,0.2524,7,2032,0.1,0.2,45
20,10,false,,0.11456628915137838,0.15510446797089333,0.05244051315608675,12,16,1.0,19.0,0.5978407557354926,0.0,0.3012,8,2033,0.1,0.2,45
30,15,false,,0.11466738997477248,0.15734057955188646,0.058456614911994845,22,27,2.0,29.0,0.6265867418899859,0.0,0.2716,8,2033,0.1,0.2,45
40,20,false,,0.16319498915416655,0.11186018691300156,-0.061468161639539526,16,1,1.0,38.0,0.4164598842018197,0.0,0.2264,8,2033,0.1,0.2,45
50,25,false,,0.10672414265313543,0.18391051229089697,0.07812439396886453,39,44,20.0,49.0,0.6454918032786885,0.35737704918032787,0.2388,8,2033,0.1,0.2,45
60,30,true,,0.12072541484421029,0.23993983717418424,0.12134562404533547,51,56,4.0,59.0,0.7092369477911646,0.10642570281124498,0.2542,8,2033,0.1,0.2,45
20,10,true,,0.11983888098849627,0.288623027621275,0.18850791577029577,14,16,2.0,19.0,0.759386733416771,0.0,0.3094,9,2034,0.1,0.2,45
20,10,false,,0.11590365192866303,0.20864473792278415,0.10124407099919192,15,16,3.0,19.0,0.6812101910828026,0.0,0.3092,10,2035,0.1,0.2,45
30,15,false,,0.09867545794529928,0.18709618663525798,0.10315571661459806,24,27,5.0,29.0,0.6743639921722113,0.0,0.2344,10,2035,0.1,0.2,45
40,20,false,,0.12251588656937434,0.15338334008996518,0.06142423254318791,26,1,1.0,39.0,0.5984053713806127,0.0,0.2464,10,2035,0.1,0.2,45
50,25,false,,0.13244116402091247,0.09703563406392242,-0.05448195511417088,29,2,1.0,47.0,0.37638703950288505,0.18331114070128718,0.1964,10,2035,0.1,0.2,45
60,30,true,,0.10992327110040023,0.3560154858336198,0.2381160449945835,50,55,8.0,59.0,0.7268806899856253,0.052228078581696216,0.1698,10,2035,0.1,0.2,45
20,10,false,,0.13945113855466956,0.16309559005316784,0.0242894771639922,12,17,2.0,19.0,0.5638914303141201,0.0,0.3214,11,2036,0.1,0.2,45
30,15,false,,0.12639242769204312,0.12420353636034183,-0.0012534873739265956,14,6,1.0,28.0,0.4976635514018692,0.0,0.2848,11,2036,0.1,0.2,45
40,20,false,,0.12640409854321805,0.1428154474347169,0.023136300689868668,29,36,2.0,39.0,0.5798013245033112,0.0,0.2656,11,2036,0.1,0.2,45
50,25,false,,0.37483115336381456,0.10741523316696124,-0.2562347338066474,4,3,1.0,30.0,0.11652035115722266,0.0,0.1936,11,2036,0.1,0.2,45
60,30,true,,0.1270677446160378,0.23543952219586312,0.11351399681372003,49,58,28.0,59.0,0.8456375838926175,0.20381490639350053,0.178,11,2036,0.1,0.2,45
20,10,false,,0.10525728557879718,0.17638286851509133,0.0790718235061538,11,16,2.0,19.0,0.6564760026298487,0.0,0.3146,12,2037,0.1,0.2,45
30,15,false,,0.21999415018577953,0.08797730236132285,-0.13746957541561644,5,2,1.0,28.0,0.2391472868217054,0.0,0.2442,12,2037,0.1,0.2,45
40,20,false,,0.11140995699580265,0.13911839486392608,0.0330417983730427,26,36,6.0,39.0,0.619776119402985,0.0,0.2898,12,2037,0.1,0.2,45
50,25,true,,0.11126660818950977,0.5609123507402487,0.4334313862385715,43,45,23.0,49.0,0.8971814211988884,0.5772131798332671,0.268,12,2037,0.1,0.2,45
20,10,false,,0.08666737778974534,0.0989230160364084,0.01808229043943013,8,3,1.0,19.0,0.5545023696682464,0.0,0.2692,13,2038,0.1,0.2,45
30,15,true,,0.09820572302102172,0.38677256495669476,0.30278727053662935,22,26,1.0,29.0,0.8383637807783956,0.0,0.2956,13,2038,0.1,0.2,45
20,10,false,,0.10712550709765391,0.72671101980582,0.6168696452255076,17,16,12.0,19.0,0.990350250178699,0.0,0.2768,14,2039,0.1,0.2,45
30,15,false,,0.10985566082835216,0.2633565849287096,0.1578533867882722,25,26,5.0,29.0,0.6966211358734723,0.0,0.261,14,2039,0.1,0.2,45
40,20,false,,0.11704345605084637,0.15128695246231638,0.0315031098388302,27,34,2.0,39.0,0.6002988419872992,0.0,0.2824,14,2039,0.1,0.2,45
50,25,true,,0.11317907691192962,0.3915773921285948,0.2648822449601343,44,46,16.0,49.0,0.8114193807800563,0.5954965822275834,0.2466,14,2039,0.1,0.2,45
20,10,false,,0.18098584359666442,0.1324756654439817,-0.05119068405486671,5,1,1.0,19.0,0.4311660007264802,0.0,0.2616,15,2040,0.1,0.2,45
30,15,false,,0.14475786108166067,0.13051014714787632,-0.026702803440878775,13,1,1.0,29.0,0.43802816901408453,0.0,0.2546,15,2040,0.1,0.2,45
40,20,false,,0.1294127536963974,0.224000010049001,0.13344119087133827,27,37,1.0,39.0,0.6753889674681753,0.0,0.2582,15,2040,0.1,0.2,45
50,25,true,,0.11799046373297034,0.22770936181484222,0.11286418428452655,44,46,16.0,49.0,0.7365316555249705,0.5564294140778608,0.2334,15,2040,0.1,0.2,45
20,10,false,,0.11257950547036476,0.22719777818626483,0.13327711661623542,13,17,1.0,19.0,0.6890471346219057,0.0,0.3026,16,2041,0.1,0.2,45
30,15,false,,0.12948469638635038,0.10597507790526632,-0.02721481939826767,11,3,1.0,28.0,0.40555764175741643,0.0,0.2562,16,2041,0.1,0.2,45
40,20,true,,0.10976410564195979,0.29880601139294083,0.18993345681640955,32,35,8.0,39.0,0.7641886490807354,0.0,0.2582,16,2041,0.1,0.2,45
20,10,false,,0.16394162971879628,0.20681451511371293,0.06976255524649308,12,1,1.0,19.0,0.5572951365756162,0.0,0.2646,17,2042,0.1,0.2,45
30,15,false,,0.13802958363737952,0.18444882226470455,0.06877901795288649,21,26,2.0,29.0,0.6153605994380269,0.0,0.2868,17,2042,0.1,0.2,45
40,20,false,,0.13091146577824286,0.4994425627643048,0.37415422466484927,35,37,4.0,39.0,0.8071860547847741,0.0,0.2256,17,2042,0.1,0.2,45
50,25,false,,0.1272020408502572,0.12560744391093306,0.0017841875805218455,38,46,4.0,49.0,0.5063336952587767,0.340209916757148,0.2472,17,2042,0.1,0.2,45
60,30,false,,0.1261474610138854,0.5571130024158112,0.43601228170487993,55,56,46.0,59.0,0.9230769230769231,0.10294680443934175,0.2042,17,2042,0.1,0.2,45
20,10,false,,0.19293930127961767,0.11845145365701946,-0.11002307910627548,8,2,1.0,19.0,0.32097989949748745,0.0,0.2886,18,2043,0.1,0.2,45
30,15,false,,0.16011470578699938,0.12470015384486821,-0.04761420269907171,10,4,1.0,28.90000000000009,0.3687218045112782,0.0,0.2936,18,2043,0.1,0.2,45
40,20,false,,0.2112740778094351,0.09547832540650686,-0.1410327743765914,12,3,1.0,37.0,0.16156462585034015,0.0,0.224,18,2043,0.1,0.2,45
50,25,false,,0.1214347271310906,0.15963954524790183,0.04985342770094177,42,47,2.0,49.0,0.6069558713537772,0.47157816005983544,0.2342,18,2043,0.1,0.2,45
60,30,false,,0.16352992023229004,0.12410196430736381,-0.04086419090260128,12,4,1.0,54.0,0.37062694838933147,0.08659508139937652,0.2138,18,2043,0.1,0.2,45
20,10,false,,0.1596764189940876,0.13873203809990736,-0.005542933081643886,8,1,1.0,19.0,0.4916998671978752,0.0,0.291,19,2044,0.1,0.2,45
30,15,false,,0.12197973098924628,0.1368272538599167,0.04047139059423674,19,26,1.0,29.0,0.5763262360158787,0.0,0.2648,19,2044,0.1,0.2,45
40,20,false,,0.12571465138652033,0.1143428043654267,-0.013976119925362518,23,3,1.9249999999999972,39.0,0.4753444525018129,0.0,0.2608,19,2044,0.1,0.2,45
50,25,false,,0.12288914264830934,0.12993091500189893,0.02838992304003278,30,9,1.0,49.0,0.5754828537642885,0.2258573117855735,0.2538,19,2044,0.1,0.2,45
60,30,true,,0.12106829168007077,0.4982940105396734,0.38178455876757567,53,53,42.0,59.0,0.9080633006782216,0.18236623963828183,0.224,19,2044,0.1,0.2,45
20,10,false,,0.0953791825083338,0.06899375605421822,-0.03781429927469686,7,1,1.0,19.0,0.38934250107434465,0.0,0.2252,20,2045,0.1,0.2,45
30,15,false,,0.09081736873677801,0.13742529013509128,0.05616177289829161,13,5,1.0,29.0,0.6738197424892703,0.0,0.2466,20,2045,0.1,0.2,45
40,20,false,,0.1664497666831577,0.07232234000247394,-0.09431854307537843,6,1,1.0,29.0,0.2204684317718941,0.0,0.1572,20,2045,0.1,0.2,45
