analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
20,10,false,,0.10164185270355294,0.24627967968401204,0.15876442211884217,15,16,2.0,19.0,0.7242926155969635,0.6107660455486542,0.2902,1,2026,0.1,0.15,15
30,15,false,,0.12929294217697002,0.1556351884359772,0.04457086959830742,21,26,1.0,29.0,0.5798856374032964,0.1503531786074672,0.2668,1,2026,0.1,0.15,15
40,20,false,,0.1327047426197978,0.15433507599090843,0.045851768728534664,15,3,1.0,38.0,0.6039070394072078,0.17413270461434827,0.2726,1,2026,0.1,0.15,15
50,25,false,,0.14008931972835706,0.13750347088476206,0.002638096117922581,7,2,1.0,29.0,0.510060007059654,0.19166960818919873,0.221,1,2026,0.1,0.15,15
60,30,true,,0.13872901098014218,0.1904868935590731,0.07208920834386746,45,56,3.5999999999999943,58.0,0.7660685154975531,0.0734094616639478,0.1764,1,2026,0.1,0.15,15
20,10,false,,0.12632365349651514,0.13878073930163182,0.02133466812175433,12,17,1.0,19.0,0.5354923127248937,0.45600261694471705,0.2848,2,2027,0.1,0.15,15
30,15,true,,0.10822380931266551,0.17089456105324538,0.0898705106502262,19,26,2.0,29.0,0.7103786816269285,0.13359046283309958,0.2702,2,2027,0.1,0.15,15
20,10,false,,0.11247095367246582,0.22833679988548647,0.1413163962357615,13,16,1.0,19.0,0.6989430617115582,0.5069894306171155,0.2898,3,2028,0.1,0.15,15
30,15,true,,0.10917818822487602,0.2563839784558223,0.160846991738493,24,27,3.0,29.0,0.8004451038575667,0.142433234421365,0.2824,3,2028,0.1,0.15,15
20,10,false,,0.13536949816799534,0.17360447687512992,0.05216931862887264,11,15,1.0,19.0,0.5949764521193093,0.43422291993720563,0.3218,4,2029,0.1,0.15,15
30,15,false,,0.1526936995481844,0.12253223445519351,-0.04244181907198902,10,3,1.0,28.0,0.3775178687459389,0.21215074723846652,0.28,4,2029,0.1,0.15,15
40,20,false,,0.15025450438376148,0.13307791058331242,-0.01851708287886203,13,2,1.0,39.0,0.48108703635695926,0.08813808299669482,0.2206,4,2029,0.1,0.15,15
50,25,false,,0.1404189940462298,0.17862436667897874,0.058733326807335784,39,46,2.0,49.0,0.630449141347424,0.00891677675033025,0.2048,4,2029,0.1,0.15,15
60,30,true,,0.1400462689614658,0.35227767868128684,0.20166041313464703,53,56,29.0,59.0,0.772253946926436,0.0,0.1744,4,2029,0.1,0.15,15
20,10,true,,0.09428368699492982,0.21010599421484796,0.12605548239029346,14,16,2.0,19.0,0.7129661306876497,0.6110160793705097,0.3024,5,2030,0.1,0.15,15
20,10,false,,0.12388813460884818,0.4099882680911862,0.29491088202612104,15,16,2.0,19.0,0.812804679883003,0.6922326941826454,0.2892,6,2031,0.1,0.15,15
30,15,false,,0.14608634021753242,0.11057474902155298,-0.05179354543887657,10,4,1.0,28.0,0.3605236656596173,0.11278952668680765,0.2782,6,2031,0.1,0.15,15
