n_reps,completed_reps,completed,true_theta1,true_theta2,true_t_star,p_effect_threshold,guard_days,analysis_every,min_analysis_day,stop_after_detection,track_timing,tau_tolerance,detection_rate,false_alarm_rate,median_detection_delay,median_abs_tau_error,tau_within_tolerance_rate,started_at,finished_at,total_elapsed_seconds,avg_elapsed_seconds_per_rep,source_file,detected_count,false_alarm_count,tau_within_count,detection_rate_se,detection_rate_ci_lower,detection_rate_ci_upper,false_alarm_rate_se,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,tau_within_tolerance_rate_se,tau_within_tolerance_rate_ci_lower,tau_within_tolerance_rate_ci_upper,scenario
1000,1000,true,0.1,0.15,15,0.7,6,10,20,true,false,5,0.797,0.0,25.0,10.0,0.28983688833124216,2026-08-06T10:02:53.558,2026-08-06T11:27:58.877,5104.454999923706,5.104454999923706,theta1_010_theta2_015_tau15_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,797,0,231,0.012719709116170855,0.7720693701323051,0.8219306298676949,0.0,0.0,0.0,0.01607040135984884,0.2583389016659384,0.3213348749965459,"θ₂=0.15, τ=15"
1000,1000,true,0.1,0.15,30,0.7,6,10,20,true,false,5,0.714,0.159,10.0,12.0,0.22549019607843138,2026-08-07T13:33:00.041,2026-08-07T14:45:25.214,4344.356000185013,4.344356000185013,theta1_010_theta2_015_tau30_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,714,159,161,0.014289996501049257,0.6859916068579435,0.7420083931420565,0.011563693181678594,0.13633516136390997,0.18166483863609004,0.015639691638684568,0.19483640046660963,0.25614399169025315,"θ₂=0.15, τ=30"
1000,1000,true,0.1,0.15,45,0.7,6,10,20,true,false,5,0.667,0.452,-5.0,15.0,0.15892053973013492,2026-08-09T11:07:09.397,2026-08-09T12:17:06.163,4196.188999891281,4.196188999891281,theta1_010_theta2_015_tau45_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,667,452,106,0.01490338887635963,0.6377893578023351,0.6962106421976649,0.015738360778683402,0.42115281287378054,0.4828471871262195,0.01415616488216144,0.1311744565610985,0.18666662289917135,"θ₂=0.15, τ=45"
1000,1000,true,0.1,0.2,15,0.7,6,10,20,true,false,5,0.981,0.0,15.0,8.0,0.3160040774719674,2026-08-09T12:27:00.204,2026-08-09T13:35:34.187,4113.983000040054,4.113983000040054,theta1_010_theta2_020_tau15_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,981,0,310,0.004317290817167639,0.9725381099983514,0.9894618900016485,0.0,0.0,0.0,0.014843577896988088,0.28691066479387073,0.3450974901500641,"θ₂=0.20, τ=15"
1000,1000,true,0.1,0.2,30,0.7,6,10,20,true,false,5,0.873,0.16,10.0,11.0,0.2565864833906071,2026-08-09T13:42:39.983,2026-08-09T14:59:17.389,4597.4059998989105,4.5974059998989105,theta1_010_theta2_020_tau30_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,873,160,224,0.010529529904036551,0.8523621213880883,0.8936378786119117,0.01159310139695155,0.13727752126197496,0.18272247873802505,0.014781720698812307,0.22761431082093497,0.2855586559602792,"θ₂=0.20, τ=30"
1000,1000,true,0.1,0.2,45,0.7,6,10,20,true,false,5,0.691,0.43,-5.0,13.0,0.20549927641099855,2026-08-10T15:12:24.191,2026-08-10T16:23:04.039,4239.4909999370575,4.239490999937058,theta1_010_theta2_020_tau45_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,691,430,142,0.014612289348353324,0.6623599128772274,0.7196400871227725,0.015655669899432602,0.3993148869971121,0.4606851130028879,0.015371394665378752,0.17537134286685618,0.23562720995514091,"θ₂=0.20, τ=45"
1000,1000,true,0.1,0.25,15,0.7,6,10,20,true,false,5,0.994,0.0,15.0,6.0,0.44064386317907445,2026-08-10T18:25:12.945,2026-08-10T19:16:51.916,3098.970999956131,3.098970999956131,theta1_010_theta2_025_tau15_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,994,0,438,0.002442130217658347,0.9892134247733896,0.9987865752266104,0.0,0.0,0.0,0.01574689292663007,0.4097799530428795,0.4715077733152694,"θ₂=0.25, τ=15"
1000,1000,true,0.1,0.25,30,0.7,6,10,20,true,false,5,0.946,0.154,10.0,8.0,0.35306553911205074,2026-08-10T21:04:11.826,2026-08-10T22:07:52.856,3821.0299999713898,3.82102999997139,theta1_010_theta2_025_tau30_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,946,154,334,0.0071473071852271785,0.9319912779169547,0.9600087220830452,0.011414201680362931,0.13162816470648864,0.17637183529351136,0.01553861262290769,0.3226098583711517,0.3835212198529498,"θ₂=0.25, τ=30"
1000,1000,true,0.1,0.25,45,0.7,6,10,20,true,false,5,0.747,0.445,-5.0,13.0,0.21686746987951808,2026-08-11T09:21:52.135,2026-08-11T10:31:51.195,4198.424999952316,4.198424999952317,theta1_010_theta2_025_tau45_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,747,445,162,0.013747399754135324,0.7200550964818948,0.7739449035181052,0.015715438269421567,0.41419774099193374,0.4758022590080663,0.01507837491499247,0.18731385504613285,0.2464210847129033,"θ₂=0.25, τ=45"
