analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
20,10,false,,0.12426641142134534,0.13915890508783146,0.011994699210157889,9,4,1.0,19.0,0.5420326223337516,0.34410288582183185,0.3246,1,2026,0.1,0.25,15
30,15,true,,0.14569357616764628,0.21792346589240252,0.13368198268226786,22,28,1.0,29.0,0.7106055536968886,0.12177985948477751,0.2142,1,2026,0.1,0.25,15
20,10,false,,0.1349375138668711,0.13766442658342293,0.008955073157869906,12,16,1.0,19.0,0.5184580202548187,0.4465860829794185,0.2964,2,2027,0.1,0.25,15
30,15,true,,0.14222266854312768,0.27463338539517085,0.16074172986137536,19,25,1.0,29.0,0.7611484422724496,0.23396456933414783,0.2996,2,2027,0.1,0.25,15
20,10,false,,0.12718738056118006,0.12161457205788294,-0.00975242610394185,8,2,1.0,18.34999999999991,0.4704327717211761,0.31813676907829536,0.3104,3,2028,0.1,0.25,15
30,15,false,,0.11918497226237425,0.43675303098031004,0.3194563698661995,25,26,17.0,29.0,0.9184876864377385,0.06659729448491156,0.2728,3,2028,0.1,0.25,15
40,20,true,,0.14814130461603844,0.5131361726364884,0.3620552211317855,34,35,5.0,39.0,0.8509102322661645,0.01977401129943503,0.233,3,2028,0.1,0.25,15
20,10,false,,0.12822570904552621,0.33507357960076034,0.21493372892630458,15,16,3.0,19.0,0.765527950310559,0.6816770186335404,0.2992,4,2029,0.1,0.25,15
30,15,false,,0.1618428478851397,0.1876598717417566,0.04828213611408958,11,4,1.0,28.0,0.6069696969696969,0.1812121212121212,0.2922,4,2029,0.1,0.25,15
40,20,true,,0.1707144280098398,0.25239602288141355,0.1064886641432253,19,25,1.0,38.0,0.7632850241545893,0.20119352088661552,0.2748,4,2029,0.1,0.25,15
20,10,false,,0.10495873578073531,0.17914519347199265,0.08909496554875698,11,13,1.0,19.0,0.6620370370370371,0.43683862433862436,0.2872,5,2030,0.1,0.25,15
30,15,true,,0.13094065497362514,0.38055166438543864,0.25555968604744206,22,26,9.0,29.0,0.8837279902853673,0.21250758955676988,0.3056,5,2030,0.1,0.25,15
20,10,false,,0.12475147004380006,0.5788400827976132,0.4539337886371528,16,16,5.0,19.0,0.9232209737827716,0.7671660424469413,0.2884,6,2031,0.1,0.25,15
30,15,false,,0.15556829670671216,0.18087814940760094,0.05150860486162845,12,3,1.0,28.0,0.5938074800735745,0.1885346413243409,0.2806,6,2031,0.1,0.25,15
40,20,true,,0.1705684677705017,0.2883515304063118,0.16839851291046504,26,34,2.0,38.0,0.8121212121212121,0.1316017316017316,0.2646,6,2031,0.1,0.25,15
20,10,false,,0.24724620918043738,0.08412938367491221,-0.19184784658909898,4,1,1.0,18.0,0.21491550330639236,0.19728141072740632,0.2188,7,2032,0.1,0.25,15
30,15,true,,0.13944715504267974,0.5172712787755082,0.379993206012332,22,25,1.0,29.0,0.8318951741770534,0.14413550655161395,0.2748,7,2032,0.1,0.25,15
20,10,false,,0.1248329220751655,0.12890257072993033,0.006591416230706332,11,16,1.0,19.0,0.5125578321216127,0.4193654990085922,0.3092,8,2033,0.1,0.25,15
30,15,false,,0.1496001820723193,0.2109446663948802,0.08518933331733476,22,25,1.0,29.0,0.6002583144979012,0.11301259283177269,0.2696,8,2033,0.1,0.25,15
40,20,false,,0.1663021034448328,0.19306752318189996,0.04571393103025523,19,1,1.0,38.0,0.5927725478287276,0.126328575766778,0.248,8,2033,0.1,0.25,15
50,25,true,,0.1569050788036018,0.2792146144393243,0.1459462408300088,29,30,9.0,45.0,0.9506139154160982,0.10040927694406548,0.2588,8,2033,0.1,0.25,15
20,10,false,,0.15821385469757612,0.12280209774807099,-0.04410341245037834,7,1,1.0,19.0,0.4226729445852952,0.3208982252806954,0.2612,9,2034,0.1,0.25,15
30,15,true,,0.14785769540576005,0.33279208353948997,0.20084246456354302,20,25,3.0,29.0,0.8606793321819228,0.20063327576280945,0.3326,9,2034,0.1,0.25,15
