rep,seed,true_theta1,true_theta2,true_t_star,detected,first_detection_day,first_detection_tau,detection_delay,false_alarm,tau_error,abs_tau_error,tau_within_tolerance,sim_elapsed_seconds,detection_elapsed_seconds,total_elapsed_seconds
1,2026,0.1,0.25,30,true,60,42,30,false,12,12,false,,,
2,2027,0.1,0.25,30,true,60,53,30,false,23,23,false,,,
3,2028,0.1,0.25,30,true,50,32,20,false,2,2,true,,,
4,2029,0.1,0.25,30,true,20,14,-10,true,-16,16,false,,,
5,2030,0.1,0.25,30,true,50,40,20,false,10,10,false,,,
6,2031,0.1,0.25,30,true,20,14,-10,true,-16,16,false,,,
7,2032,0.1,0.25,30,true,40,27,10,false,-3,3,true,,,
8,2033,0.1,0.25,30,true,30,23,0,false,-7,7,false,,,
9,2034,0.1,0.25,30,true,50,41,20,false,11,11,false,,,
10,2035,0.1,0.25,30,true,60,27,30,false,-3,3,true,,,
11,2036,0.1,0.25,30,true,50,33,20,false,3,3,true,,,
12,2037,0.1,0.25,30,true,20,14,-10,true,-16,16,false,,,
13,2038,0.1,0.25,30,true,30,22,0,false,-8,8,false,,,
14,2039,0.1,0.25,30,true,40,29,10,false,-1,1,true,,,
15,2040,0.1,0.25,30,true,20,13,-10,true,-17,17,false,,,
16,2041,0.1,0.25,30,true,60,39,30,false,9,9,false,,,
17,2042,0.1,0.25,30,true,40,34,10,false,4,4,false,,,
18,2043,0.1,0.25,30,true,50,31,20,false,1,1,true,,,
19,2044,0.1,0.25,30,true,40,34,10,false,4,4,false,,,
20,2045,0.1,0.25,30,false,,,,false,,,,,,
21,2046,0.1,0.25,30,true,40,31,10,false,1,1,true,,,
22,2047,0.1,0.25,30,true,50,31,20,false,1,1,true,,,
23,2048,0.1,0.25,30,true,40,33,10,false,3,3,true,,,
24,2049,0.1,0.25,30,true,60,44,30,false,14,14,false,,,
25,2050,0.1,0.25,30,true,40,34,10,false,4,4,false,,,
26,2051,0.1,0.25,30,true,40,34,10,false,4,4,false,,,
27,2052,0.1,0.25,30,true,60,37,30,false,7,7,false,,,
28,2053,0.1,0.25,30,false,,,,false,,,,,,
29,2054,0.1,0.25,30,true,60,44,30,false,14,14,false,,,
30,2055,0.1,0.25,30,true,20,14,-10,true,-16,16,false,,,
31,2056,0.1,0.25,30,true,50,35,20,false,5,5,false,,,
32,2057,0.1,0.25,30,true,50,40,20,false,10,10,false,,,
33,2058,0.1,0.25,30,true,30,19,0,false,-11,11,false,,,
34,2059,0.1,0.25,30,true,50,39,20,false,9,9,false,,,
35,2060,0.1,0.25,30,false,,,,false,,,,,,
36,2061,0.1,0.25,30,true,50,42,20,false,12,12,false,,,
37,2062,0.1,0.25,30,true,50,39,20,false,9,9,false,,,
38,2063,0.1,0.25,30,true,40,34,10,false,4,4,false,,,
39,2064,0.1,0.25,30,true,30,22,0,false,-8,8,false,,,
40,2065,0.1,0.25,30,true,30,23,0,false,-7,7,false,,,
41,2066,0.1,0.25,30,true,60,49,30,false,19,19,false,,,
42,2067,0.1,0.25,30,true,30,24,0,false,-6,6,false,,,
43,2068,0.1,0.25,30,true,50,35,20,false,5,5,false,,,
44,2069,0.1,0.25,30,true,20,14,-10,true,-16,16,false,,,
45,2070,0.1,0.25,30,false,,,,false,,,,,,
46,2071,0.1,0.25,30,true,50,36,20,false,6,6,false,,,
47,2072,0.1,0.25,30,true,40,34,10,false,4,4,false,,,
48,2073,0.1,0.25,30,true,50,25,20,false,-5,5,false,,,
49,2074,0.1,0.25,30,true,50,35,20,false,5,5,false,,,
50,2075,0.1,0.25,30,true,50,33,20,false,3,3,true,,,
51,2076,0.1,0.25,30,true,20,12,-10,true,-18,18,false,,,
52,2077,0.1,0.25,30,true,40,29,10,false,-1,1,true,,,
53,2078,0.1,0.25,30,false,,,,false,,,,,,
54,2079,0.1,0.25,30,true,60,13,30,false,-17,17,false,,,
55,2080,0.1,0.25,30,true,50,32,20,false,2,2,true,,,
56,2081,0.1,0.25,30,true,20,13,-10,true,-17,17,false,,,
57,2082,0.1,0.25,30,true,30,24,0,false,-6,6,false,,,
58,2083,0.1,0.25,30,true,60,45,30,false,15,15,false,,,
59,2084,0.1,0.25,30,false,,,,false,,,,,,
60,2085,0.1,0.25,30,true,40,26,10,false,-4,4,false,,,
61,2086,0.1,0.25,30,true,50,42,20,false,12,12,false,,,
62,2087,0.1,0.25,30,false,,,,false,,,,,,
