analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
20,10,false,,0.0937279541323323,0.4594282522305571,0.3563146696165652,15,17,4.0,19.0,0.8786086956521739,0.0,0.2994,1,2026,0.1,0.15,30
30,15,false,,0.18558200700231603,0.10650851456658882,-0.09112860415716756,7,3,1.0,29.0,0.3777077589602206,0.10476565576998818,0.2786,1,2026,0.1,0.15,30
40,20,false,,0.11381415312076562,0.24286441669297051,0.13850814069166356,30,34,2.0,39.0,0.6951830443159923,0.2786127167630058,0.2672,1,2026,0.1,0.15,30
50,25,true,,0.11746693531582642,0.24484743272432274,0.12320530875114155,43,46,30.974999999999994,49.0,0.7328125,0.060546875,0.2504,1,2026,0.1,0.15,30
20,10,false,,0.119375693390931,0.3689037436352459,0.2617040859880767,15,16,3.0,19.0,0.6853237878294826,0.0,0.293,2,2027,0.1,0.15,30
30,15,false,,0.15380383295040165,0.09107563912521034,-0.08093142014286364,8,3,1.0,27.0,0.35035349567949725,0.025530243519245877,0.2728,2,2027,0.1,0.15,30
40,20,false,,0.7373786262581709,0.07615618951487758,-0.6611480866226186,2,1,1.0,6.0,0.0,0.0,0.104,2,2027,0.1,0.15,30
50,25,false,,0.2561702455088643,0.08667069228108783,-0.17932062112277924,5,3,1.0,44.0,0.2143928035982009,0.022988505747126436,0.121,2,2027,0.1,0.15,30
60,30,true,,0.09942336248267504,0.39406844425374227,0.2871608692839709,53,55,37.0,59.0,0.8892128279883382,0.0,0.1492,2,2027,0.1,0.15,30
20,10,false,,0.12853325168897226,0.18257392979660442,0.07418824407184624,13,17,1.0,19.0,0.5872450631272257,0.0,0.2958,3,2028,0.1,0.15,30
30,15,false,,0.1159573901107485,0.10345077238046783,-0.01654831722626912,18,1,1.0,29.0,0.444945509207065,0.10935738444193913,0.2568,3,2028,0.1,0.15,30
40,20,false,,0.2031363254182963,0.09639203537988732,-0.12142330322183525,6,4,1.0,35.0,0.2170481452249408,0.026835043409629045,0.2528,3,2028,0.1,0.15,30
50,25,false,,0.11854466995771062,0.15040319670563884,0.043869591344657524,36,42,3.0,48.0,0.6221128360469519,0.12078758046194624,0.2666,3,2028,0.1,0.15,30
60,30,true,,0.12255614925845554,0.5910728746768628,0.47410454327116025,54,55,39.0,59.0,0.959765625,0.00546875,0.2182,3,2028,0.1,0.15,30
20,10,false,,0.12045749391107882,0.3262155418536381,0.2082191431022331,15,16,2.0,19.0,0.7844936708860759,0.0,0.2988,4,2029,0.1,0.15,30
30,15,false,,0.11911153010234739,0.1229809224529186,0.009906616445650052,19,25,1.9249999999999972,29.0,0.523989033584647,0.11891706648389308,0.2452,4,2029,0.1,0.15,30
40,20,false,,0.1651519380824824,0.10976928793449452,-0.06330640232521849,7,3,1.0,27.0,0.289395070948469,0.02315160567587752,0.2434,4,2029,0.1,0.15,30
