analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
20,10,false,,0.105607354437499,0.13554542381460924,0.03687428205424126,13,17,1.0,19.0,0.5752212389380531,0.0,0.3008,1,2026,0.1,0.25,30
30,15,false,,0.10837352647692236,0.12638260803655074,0.03099879551131815,14,24,2.0,28.0,0.5924608819345661,0.059743954480796585,0.2996,1,2026,0.1,0.25,30
40,20,false,,0.11181750785505883,0.15796632612355285,0.07167939025952455,26,4,2.0,38.0,0.6958934517203108,0.30003699593044764,0.2766,1,2026,0.1,0.25,30
50,25,false,,0.14566841976746778,0.1463765564670892,-0.002157040344754252,11,2,1.0,33.0,0.49726589200273413,0.06698564593301436,0.2518,1,2026,0.1,0.25,30
60,30,true,,0.13808771404762502,0.32742516185547943,0.19282604768804532,42,41,26.0,56.0,0.950186799501868,0.11768368617683686,0.2242,1,2026,0.1,0.25,30
20,10,false,,0.119375693390931,0.3689037436352459,0.2617040859880767,15,16,3.0,19.0,0.6853237878294826,0.0,0.293,2,2027,0.1,0.25,30
30,15,false,,0.15380383295040165,0.09107563912521034,-0.08093142014286364,8,3,1.0,27.0,0.35035349567949725,0.025530243519245877,0.2728,2,2027,0.1,0.25,30
40,20,false,,0.7373786262581709,0.07615618951487758,-0.6611480866226186,2,1,1.0,6.0,0.0,0.0,0.104,2,2027,0.1,0.25,30
50,25,false,,0.2561702455088643,0.08667069228108783,-0.17932062112277924,5,3,1.0,44.0,0.2143928035982009,0.022988505747126436,0.121,2,2027,0.1,0.25,30
60,30,true,,0.09942336248267504,0.39406844425374227,0.2871608692839709,53,55,37.0,59.0,0.8892128279883382,0.0,0.1492,2,2027,0.1,0.25,30
20,10,false,,0.299143894884069,0.09806368333436229,-0.22203100618617594,3,1,1.0,18.0,0.2722571111932028,0.0,0.251,3,2028,0.1,0.25,30
30,15,false,,0.1094492640116399,0.14908596131394997,0.04696131199521425,23,26,4.0,29.0,0.6182212581344902,0.22270426608821403,0.2786,3,2028,0.1,0.25,30
40,20,false,,0.10810296030620203,0.6691919250560204,0.5502523328314421,35,36,25.0,39.0,1.0,0.2968688069758224,0.2664,3,2028,0.1,0.25,30
50,25,true,,0.11813171953196015,0.19890192780838903,0.1078793623734029,32,43,4.0,48.0,0.7753726046841731,0.11781405251951739,0.287,3,2028,0.1,0.25,30
20,10,true,,0.12775492527586146,0.23408455267264025,0.13052276136499813,14,16,1.0,19.0,0.7065432914738929,0.0,0.2814,4,2029,0.1,0.25,30
20,10,false,,0.09145002559005089,0.12629888975167436,0.03911239363573819,11,16,1.0,19.0,0.6089743589743589,0.0,0.2976,5,2030,0.1,0.25,30
30,15,false,,0.09400322446428265,0.09127371849968631,0.003071157498791152,16,19,2.0,28.0,0.5157722244981565,0.06063088897992626,0.2378,5,2030,0.1,0.25,30
40,20,false,,0.1986290669851803,0.09443771795003295,-0.12435059025173148,7,1,1.0,36.0,0.3117822203317737,0.07656316461080391,0.2552,5,2030,0.1,0.25,30
50,25,true,,0.11517802313321224,0.22465372260843747,0.11553544718645514,40,43,18.0,49.0,0.7235202492211839,0.16510903426791276,0.2584,5,2030,0.1,0.25,30
20,10,true,,0.1225926021193412,0.2590490639025055,0.160768669330499,14,16,2.0,19.0,0.7313386798272671,0.0,0.3264,6,2031,0.1,0.25,30
20,10,false,,0.11735796126613225,0.09372997492981788,-0.030051480869501934,10,7,1.0,19.0,0.4221652786675208,0.0,0.2868,7,2032,0.1,0.25,30
30,15,false,,0.17487057601467895,0.07167627872747168,-0.11216517930651235,6,2,1.0,25.0,0.20757967269595176,0.010766580534022395,0.1876,7,2032,0.1,0.25,30
40,20,true,,0.11429413621080332,0.22137575440333013,0.11664876414641079,27,34,1.0,39.0,0.7179389312977099,0.22938931297709925,0.2782,7,2032,0.1,0.25,30
20,10,false,,0.10081848989570662,0.6410229269301738,0.5421632252136663,16,17,3.0,19.0,0.9321851453175457,0.0,0.287,8,2033,0.1,0.25,30
30,15,true,,0.11442189500155503,0.2344261270257168,0.1317622101242779,23,27,2.0,29.0,0.7213290460878885,0.2147195426938192,0.2878,8,2033,0.1,0.25,30
20,10,false,,0.12270009448130315,0.29536161630809243,0.17708565317983174,15,16,2.0,19.0,0.7477165354330708,0.0,0.3148,9,2034,0.1,0.25,30
30,15,false,,0.13146399691403218,0.10247864360508196,-0.03731225822003692,13,2,1.0,28.0,0.33608815426997246,0.0540633608815427,0.2644,9,2034,0.1,0.25,30
40,20,false,,0.12330016859468555,0.12140692694599814,0.0037306030145238256,22,11,3.0,38.0,0.5087971274685816,0.19317773788150808,0.2732,9,2034,0.1,0.25,30
50,25,true,,0.13119477207798966,0.5180622518747402,0.41074568505661513,41,44,2.0,48.0,0.8793162393162394,0.06803418803418804,0.2368,9,2034,0.1,0.25,30
20,10,false,,0.11854902548734524,0.14701387820298056,0.04092627562678003,12,16,2.0,19.0,0.5997434252726106,0.0,0.3192,10,2035,0.1,0.25,30
30,15,false,,0.09992494552499409,0.17393235926355677,0.07772600535728733,23,25,4.0,29.0,0.6498459167950693,0.19992295839753466,0.2498,10,2035,0.1,0.25,30
40,20,false,,0.1494759966788705,0.1064230703881474,-0.04877987909302209,7,1,1.0,38.0,0.3968187526161574,0.09460025115110925,0.2546,10,2035,0.1,0.25,30
