n_reps,completed_reps,completed,true_theta1,true_theta2,true_t_star,p_effect_threshold,guard_days,analysis_every,min_analysis_day,stop_after_detection,track_timing,tau_tolerance,detection_rate,false_alarm_rate,median_detection_delay,median_abs_tau_error,tau_within_tolerance_rate,started_at,finished_at,total_elapsed_seconds,avg_elapsed_seconds_per_rep,source_file,detected_count,false_alarm_count,tau_within_count,detection_rate_se,detection_rate_ci_lower,detection_rate_ci_upper,false_alarm_rate_se,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,tau_within_tolerance_rate_se,tau_within_tolerance_rate_ci_lower,tau_within_tolerance_rate_ci_upper,scenario
1000,1000,true,0.1,0.15,15,0.7,6,10,20,true,false,3,0.797,0.0,25.0,10.0,0.24215809284818068,2026-08-06T10:02:53.558,2026-08-06T11:27:58.877,5104.454999923706,5.104454999923706,theta1_010_theta2_015_tau15_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,797,0,193,0.012719709116170855,0.7720693701323051,0.8219306298676949,0.0,0.0,0.0,0.015174334094199974,0.21241639802354872,0.27189978767281264,"θ₂=0.15, τ=15"
1000,1000,true,0.1,0.15,30,0.7,6,10,20,true,false,3,0.714,0.159,10.0,12.0,0.15126050420168066,2026-08-07T13:33:00.041,2026-08-07T14:45:25.214,4344.356000185013,4.344356000185013,theta1_010_theta2_015_tau30_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,714,159,108,0.014289996501049257,0.6859916068579435,0.7420083931420565,0.011563693181678594,0.13633516136390997,0.18166483863609004,0.013409138365127927,0.12497859300602993,0.1775424153973314,"θ₂=0.15, τ=30"
1000,1000,true,0.1,0.15,45,0.7,6,10,20,true,false,3,0.667,0.452,-5.0,15.0,0.12143928035982009,2026-08-09T11:07:09.397,2026-08-09T12:17:06.163,4196.188999891281,4.196188999891281,theta1_010_theta2_015_tau45_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,667,452,81,0.01490338887635963,0.6377893578023351,0.6962106421976649,0.015738360778683402,0.42115281287378054,0.4828471871262195,0.012647438217739112,0.09665030145305142,0.14622825926658875,"θ₂=0.15, τ=45"
1000,1000,true,0.1,0.2,15,0.7,6,10,20,true,false,3,0.981,0.0,15.0,8.0,0.25076452599388377,2026-08-09T12:27:00.204,2026-08-09T13:35:34.187,4113.983000040054,4.113983000040054,theta1_010_theta2_020_tau15_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,981,0,246,0.004317290817167639,0.9725381099983514,0.9894618900016485,0.0,0.0,0.0,0.013839095682663333,0.22363989845586363,0.2778891535319039,"θ₂=0.20, τ=15"
1000,1000,true,0.1,0.2,30,0.7,6,10,20,true,false,3,0.873,0.16,10.0,11.0,0.17525773195876287,2026-08-09T13:42:39.983,2026-08-09T14:59:17.389,4597.4059998989105,4.5974059998989105,theta1_010_theta2_020_tau30_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,873,160,153,0.010529529904036551,0.8523621213880883,0.8936378786119117,0.01159310139695155,0.13727752126197496,0.18272247873802505,0.012867393964249135,0.15003763978883458,0.20047782412869117,"θ₂=0.20, τ=30"
1000,1000,true,0.1,0.2,45,0.7,6,10,20,true,false,3,0.691,0.43,-5.0,13.0,0.13314037626628075,2026-08-10T15:12:24.191,2026-08-10T16:23:04.039,4239.4909999370575,4.239490999937058,theta1_010_theta2_020_tau45_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,691,430,92,0.014612289348353324,0.6623599128772274,0.7196400871227725,0.015655669899432602,0.3993148869971121,0.4606851130028879,0.012923800751589795,0.10780972679316475,0.15847102573939675,"θ₂=0.20, τ=45"
1000,1000,true,0.1,0.25,15,0.7,6,10,20,true,false,3,0.994,0.0,15.0,6.0,0.3058350100603622,2026-08-10T18:25:12.945,2026-08-10T19:16:51.916,3098.970999956131,3.098970999956131,theta1_010_theta2_025_tau15_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,994,0,304,0.002442130217658347,0.9892134247733896,0.9987865752266104,0.0,0.0,0.0,0.014614425933093079,0.27719073523149973,0.3344792848892246,"θ₂=0.25, τ=15"
1000,1000,true,0.1,0.25,30,0.7,6,10,20,true,false,3,0.946,0.154,10.0,8.0,0.2568710359408034,2026-08-10T21:04:11.826,2026-08-10T22:07:52.856,3821.0299999713898,3.82102999997139,theta1_010_theta2_025_tau30_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,946,154,243,0.0071473071852271785,0.9319912779169547,0.9600087220830452,0.011414201680362931,0.13162816470648864,0.17637183529351136,0.01420509343616327,0.2290290528059234,0.2847130190756834,"θ₂=0.25, τ=30"
1000,1000,true,0.1,0.25,45,0.7,6,10,20,true,false,3,0.747,0.445,-5.0,13.0,0.14859437751004015,2026-08-11T09:21:52.135,2026-08-11T10:31:51.195,4198.424999952316,4.198424999952317,theta1_010_theta2_025_tau45_n1000_iter5000_burn1000_p070_guard6_tol3_performance.csv,747,445,111,0.013747399754135324,0.7200550964818948,0.7739449035181052,0.015715438269421567,0.41419774099193374,0.4758022590080663,0.013013950319622845,0.12308703488357937,0.17410172013650094,"θ₂=0.25, τ=45"
