rep,seed,true_theta1,true_theta2,true_t_star,detected,first_detection_day,first_detection_tau,detection_delay,false_alarm,tau_error,abs_tau_error,tau_within_tolerance,sim_elapsed_seconds,detection_elapsed_seconds,total_elapsed_seconds
1,2026,0.1,0.2,30,true,20,14,-10,true,-16,16,false,,,
2,2027,0.1,0.2,30,true,60,53,30,false,23,23,false,,,
3,2028,0.1,0.2,30,true,50,44,20,false,14,14,false,,,
4,2029,0.1,0.2,30,true,60,52,30,false,22,22,false,,,
5,2030,0.1,0.2,30,false,,,,false,,,,,,
6,2031,0.1,0.2,30,false,,,,false,,,,,,
7,2032,0.1,0.2,30,true,50,31,20,false,1,1,true,,,
8,2033,0.1,0.2,30,false,,,,false,,,,,,
9,2034,0.1,0.2,30,true,40,34,10,false,4,4,false,,,
10,2035,0.1,0.2,30,true,60,52,30,false,22,22,false,,,
11,2036,0.1,0.2,30,false,,,,false,,,,,,
12,2037,0.1,0.2,30,true,40,32,10,false,2,2,true,,,
13,2038,0.1,0.2,30,true,20,14,-10,true,-16,16,false,,,
14,2039,0.1,0.2,30,true,40,33,10,false,3,3,true,,,
15,2040,0.1,0.2,30,true,60,50,30,false,20,20,false,,,
16,2041,0.1,0.2,30,true,50,42,20,false,12,12,false,,,
17,2042,0.1,0.2,30,true,50,43,20,false,13,13,false,,,
18,2043,0.1,0.2,30,false,,,,false,,,,,,
19,2044,0.1,0.2,30,true,40,33,10,false,3,3,true,,,
20,2045,0.1,0.2,30,true,60,46,30,false,16,16,false,,,
21,2046,0.1,0.2,30,true,20,14,-10,true,-16,16,false,,,
22,2047,0.1,0.2,30,true,50,37,20,false,7,7,false,,,
23,2048,0.1,0.2,30,true,60,52,30,false,22,22,false,,,
24,2049,0.1,0.2,30,true,50,40,20,false,10,10,false,,,
25,2050,0.1,0.2,30,true,60,46,30,false,16,16,false,,,
26,2051,0.1,0.2,30,true,40,34,10,false,4,4,false,,,
27,2052,0.1,0.2,30,true,60,44,30,false,14,14,false,,,
28,2053,0.1,0.2,30,false,,,,false,,,,,,
29,2054,0.1,0.2,30,true,50,44,20,false,14,14,false,,,
30,2055,0.1,0.2,30,true,30,23,0,false,-7,7,false,,,
31,2056,0.1,0.2,30,true,50,40,20,false,10,10,false,,,
32,2057,0.1,0.2,30,true,40,33,10,false,3,3,true,,,
33,2058,0.1,0.2,30,true,30,21,0,false,-9,9,false,,,
34,2059,0.1,0.2,30,true,60,48,30,false,18,18,false,,,
35,2060,0.1,0.2,30,false,,,,false,,,,,,
36,2061,0.1,0.2,30,true,60,52,30,false,22,22,false,,,
37,2062,0.1,0.2,30,true,60,44,30,false,14,14,false,,,
38,2063,0.1,0.2,30,true,30,23,0,false,-7,7,false,,,
39,2064,0.1,0.2,30,true,50,40,20,false,10,10,false,,,
40,2065,0.1,0.2,30,true,30,23,0,false,-7,7,false,,,
41,2066,0.1,0.2,30,true,60,50,30,false,20,20,false,,,
42,2067,0.1,0.2,30,true,20,13,-10,true,-17,17,false,,,
43,2068,0.1,0.2,30,false,,,,false,,,,,,
44,2069,0.1,0.2,30,true,20,13,-10,true,-17,17,false,,,
45,2070,0.1,0.2,30,true,30,23,0,false,-7,7,false,,,
46,2071,0.1,0.2,30,true,50,34,20,false,4,4,false,,,
