analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
20,10,false,,0.09970710949696635,0.35279407159942,0.25891119038466004,15,17,2.0,19.0,0.7756130332549547,0.0,0.2852,1,2026,0.1,0.25,45
30,15,true,,0.0998128692994642,0.3437504945019719,0.2423259299047532,24,26,4.0,29.0,0.8393467527535131,0.0,0.2948,1,2026,0.1,0.25,45
20,10,false,,0.119375693390931,0.3689037436352459,0.2617040859880767,15,16,3.0,19.0,0.6853237878294826,0.0,0.293,2,2027,0.1,0.25,45
30,15,false,,0.15380383295040165,0.09107563912521034,-0.08093142014286364,8,3,1.0,27.0,0.35035349567949725,0.0,0.2728,2,2027,0.1,0.25,45
40,20,false,,0.7373786262581709,0.07615618951487758,-0.6611480866226186,2,1,1.0,6.0,0.0,0.0,0.104,2,2027,0.1,0.25,45
50,25,false,,0.2561702455088643,0.08667069228108783,-0.17932062112277924,5,3,1.0,44.0,0.2143928035982009,0.04697651174412794,0.121,2,2027,0.1,0.25,45
60,30,true,,0.09942336248267504,0.39406844425374227,0.2871608692839709,53,55,37.0,59.0,0.8892128279883382,0.14965986394557823,0.1492,2,2027,0.1,0.25,45
20,10,false,,0.11535437732134349,0.16556277662549834,0.05403790950459621,12,14,2.0,19.0,0.6102435977514054,0.0,0.3096,3,2028,0.1,0.25,45
30,15,false,,0.12440312772445639,0.10953220498535716,-0.0033404217395046343,12,2,1.0,29.0,0.49463955637707946,0.0,0.2626,3,2028,0.1,0.25,45
40,20,false,,0.11901687478838693,0.11932503375258344,0.011321900491383596,15,4,2.0,38.0,0.532746074301034,0.0,0.2698,3,2028,0.1,0.25,45
50,25,false,,0.11792669068655938,0.11990687097522384,0.003838877301565541,37,46,3.0,49.0,0.5116459627329193,0.296972049689441,0.2596,3,2028,0.1,0.25,45
60,30,true,,0.12120747791821324,0.24969976489316173,0.12951620759404625,49,51,33.0,59.0,0.8730672419992809,0.2398417835311039,0.2416,3,2028,0.1,0.25,45
20,10,false,,0.11653989533314991,0.6127760159550929,0.5078992177931865,16,16,4.0,19.0,0.8839406207827261,0.0,0.286,4,2029,0.1,0.25,45
30,15,false,,0.13082997449096376,0.13209202103083287,0.006482576571935711,16,26,1.0,29.0,0.5129847029526858,0.0,0.262,4,2029,0.1,0.25,45
40,20,false,,0.11447075458671026,0.6711507469712817,0.5622963036660777,35,35,26.0,39.0,0.9500580720092915,0.0,0.2494,4,2029,0.1,0.25,45
50,25,true,,0.11717674124830023,0.4089900315407413,0.29488899480311753,42,47,20.0,49.0,0.75920125293657,0.4577133907595928,0.2426,4,2029,0.1,0.25,45
20,10,false,,0.24138680321333336,0.07539338961672327,-0.1702714841077575,4,1,1.0,18.0,0.3154281098546042,0.0,0.2064,5,2030,0.1,0.25,45
30,15,false,,0.09336506245313721,0.1071262968121911,0.01881667676651371,14,24,2.0,28.0,0.5506329113924051,0.0,0.2462,5,2030,0.1,0.25,45
40,20,false,,0.09324354612388559,0.1503114049908805,0.06069479810775959,27,36,7.0,38.0,0.676326348640214,0.0,0.1862,5,2030,0.1,0.25,45
50,25,false,,0.12154713578998372,0.09357381984545578,-0.032639382793894944,15,4,1.0,48.125,0.4164926931106472,0.17693110647181629,0.1218,5,2030,0.1,0.25,45
60,30,false,,0.13834973291319166,0.08591694208396018,-0.05604229724363455,8,4,1.0,28.0,0.25996631106120155,0.0,0.0902,5,2030,0.1,0.25,45
20,10,false,,0.13540910969476339,0.34156854836200184,0.2293922023341362,15,16,1.0,19.0,0.7153521583901331,0.0,0.2938,6,2031,0.1,0.25,45
30,15,false,,0.1251099370919684,0.09488474366405086,-0.04270339035518397,16,1,1.0,29.0,0.3857404021937843,0.0,0.2506,6,2031,0.1,0.25,45
40,20,false,,0.1468675105340978,0.0926803126175698,-0.06463301529735559,10,10,2.0,35.0,0.28614344723995494,0.0,0.2548,6,2031,0.1,0.25,45
50,25,true,,0.1063678104591988,0.19478258846379887,0.08099786282666069,42,45,26.0,49.0,0.750994431185362,0.5079554494828958,0.2334,6,2031,0.1,0.25,45
20,10,false,,0.12245391007720524,0.3903327495116906,0.2821140232320096,15,17,1.0,19.0,0.6830265848670757,0.0,0.2744,7,2032,0.1,0.25,45
30,15,true,,0.0931086704852192,0.38372536797486173,0.27867835061630875,24,25,4.0,29.0,0.7014989293361884,0.0,0.2086,7,2032,0.1,0.25,45
20,10,false,,0.11465627382242763,0.246465839750247,0.16381690967057508,13,16,1.0,19.0,0.6428571428571429,0.0,0.2732,8,2033,0.1,0.25,45
30,15,false,,0.10834830333983897,0.32226070228638853,0.21401897536837622,25,26,4.0,29.0,0.8106743598990264,0.0,0.2744,8,2033,0.1,0.25,45
40,20,false,,0.195681352720746,0.0980534653950495,-0.10809024295727485,6,1,1.0,37.0,0.3059574468085106,0.0,0.2162,8,2033,0.1,0.25,45
50,25,false,,0.13767592986186716,0.11084874786803571,-0.03205458760641972,15,5,2.0,48.0,0.41733226837060705,0.11661341853035144,0.2712,8,2033,0.1,0.25,45
60,30,false,,0.12129606380950933,0.15420633597816827,0.04035378649790401,46,52,1.0,59.0,0.6180039138943249,0.23052837573385518,0.2072,8,2033,0.1,0.25,45
20,10,false,,0.11652216902875373,0.3708257832975217,0.2623396695883141,15,17,3.0,19.0,0.8152724968314322,0.0,0.3144,9,2034,0.1,0.25,45
